"id","name","description","img","gemstone","location_of_origin","origin","treatments","cut_type","weight","dimensions","cut_by"
10859,"Tektite","Tektite is a natural glass formed from a meteorite impact melting the local rock.

Many varietal names are given to Tektites from different localities. 

Moldavites are oval or spherical specimens of pale or bottle-green colour with few included bubbles and less obviously flattened from the Radomilice area of southern Bohemia, Czech Republic.

Bikolite is a name given to Tektites from the Bikol area of the Philippines.

Australites are button-shaped glass pieces found in South Australia and Tasmania. Billitonites are dark brown specimens found on Billiton Island between Sumatra and Borneo. 

Darwinites or Queenstownites are silica-rich and alumina-poor colourless to olive green to black specimens from Jukes-Darwin field near Queenstown, Tasmania.

Tektites can be distinguished from the much more abundant volcanic glasses (obsidian) by their negligible water content. A small splinter of tektite will fuse quietly in a flame to a droplet of glass, whereas a splinter of obsidian will froth up and expand in a flame owing to its small water content turning into steam.","https://www.gemdat.org/gphotos/0026909001351604213.jpg","Moldavite","Czech Republic","Natural","None reported","Oval","9.63 cts.","18.0mm x 13.5mm x ?","N/A"
10860,"Moldavite","Moldavite is named after the the former german name of the river Moldau, Czech Republic, where the material was first found in 1787. Czechs call them ""vltavin"", after the Czech name for the same river, the Vltava.

Moldavite is a natural glass, a variety of Tektite. Tektites are formed when terrestrial rock and soil is melted and ejected into space by meteorite impacts, and each impact produces a limited strewn field which is named. Consequently the name ""moldavite"" can only be used for tektites from one specific impact (in this case the Ries crater in Germany), the strewn field being mainly in the Czech Republic, together with minor neighboring areas of Germany and Austria. It is nonsense for other glasses to be marketed using variations of the name like ""African Moldavite"" (sic).

Moldavites are the most transparent of all the various types of tektites. They are found in many different color shades between brown and green, but normally only the ones with bottle-green hue are used for faceting. Occasionally faceted green bottle glass gets fraudulently passed off as ""moldavite"". True moldavite gems can be identified by their vermiform inclusions of lechatelierite (pure silica glass - melted quartz).","https://www.gemdat.org/gphotos/0026909001351604213.jpg","Moldavite","Czech Republic","Natural","None reported","Oval","9.63 cts.","18.0mm x 13.5mm x ?","N/A"
1087,"Clinozoisite","Clinozoisite was discovered in 1896 in Tyrol, Austria, and is named because of its monoclinic crystallography and resemblance to zoisite. 

Clinozoisite is colourless, yellow, greenish or pale rose-red mineral similar to Epidote, but containing little iron.","https://www.gemdat.org/gphotos/0824966001344950042.jpg","Clinozoisite","Skardu, Skardu Area, Gilgit-Baltistan, Pakistan","Natural","None reported","N/A","0.22 cts.","N/A","N/A"
10889,"Watermelon Tourmaline","A variety of Tourmaline with colour zoning showing a pink core and green edges.","https://www.gemdat.org/gphotos/0491347001343745531.jpg","Watermelon Tourmaline","Namibia","Natural","None reported","Freeform","33.15 cts.","N/A","N/A"
109,"Alexandrite","Alexandrite is a variety of Chrysoberyl. It was named after Czar Alexander II. 

It displays a color change (alexandrite effect) dependent upon the nature of ambient lighting. It is vivid grass green in daylight or fluorescent light, and intense raspberry red in artificial incandescent light. To accentuate this peculiar character the stone must be cut of a certain thickness, the difference in colour being much less marked in a stone cut with little depth. 

Until comparatively recent times alexandrite was found only in Russia, in the emerald mines on the right bank of the Takovaya, a small stream east of Ekaterinburg in the Urals. Today these mines produce very little and Sri Lanka becomes the major source for the material.","https://www.gemdat.org/gphotos/0711856001343685873.jpg","Alexandrite","India","Natural","None reported","Oval","2.00 cts.","N/A","N/A"
1094,"Cobalt-bearing Calcite","A pink to purple cobalt-bearing variety of Calcite.

Also known as Aphrodite Stone.

Cuttable material comes from Spain.","https://www.gemdat.org/gphotos/0022703001344950633.jpg","Cobalt-bearing Calcite","Spain","Natural","None reported","Round Brilliant","6.44 cts.","N/A","Unknown Cutter"
10984,"Sunstone (Aventurine feldspar)","Sunstone is a plagioclase feldspar that has red, more rarely green or blue glitter which is caused by light reflections from tiny hematite or goethite platelets.

The name derives from sunstones believed to have been used for navigation in the Middle Ages.

Sunstone is the official gemstone of Oregon, USA.","https://www.gemdat.org/gphotos/0010176001353943507.jpg","Sunstone","N/A","Natural","None reported","Freeform","5.66 cts.","13.3mm x 13.1mm x 4.0mm","N/A"
1108,"Colemanite","Colemanite is named after William Tell Coleman, mine owner and a founder of the California borax industry. 

Colemanite has variable crystal habits: short prismatic crystals, stubby and bead-like equant crystals, flattened crystals, that appear bladed with terminations.

Colemanite is highly sensitive to heat.","https://www.gemdat.org/gphotos/0427747001344951354.jpg","Colemanite","Billie Mine (Billie group; Ryan Mine; Billie I Mine; Billie II Mine), Ryan, Furnace Creek Mining District (Furnace Creek Borate Mining District), Inyo Co., California, USA","Natural","None reported","N/A","0.87 cts.","N/A","N/A"
1128,"Cordierite (Iolite)","Cordierite was discovered in 1813 and is named after the French geologist Louis Cordier. It is also called Iolite (Greek - violet), and is sometimes misleadingly termed ""Water sapphire"". 

Cordierite is famous for its remarkable trichroism: deep violet-blue (looking down the length of the prism) - blue-gray or yellowish-brown (when viewed through the sides). Oriented correctly Cordierite can be cut into attractive deep blue faceted gems. 

""Bloodshot Iolite"" originates from Sri Lanka. It has a distinct reddish sheen or aventurescence, caused by hematite and goethite inclusions.

Varieties with Cat's eye effect and weak asterism are known.","https://www.gemdat.org/gphotos/0121493001350934081.jpg","Cordierite","Madagascar","Natural","None reported","Heart","4.26 cts.","13.36mm x 10.31mm x 6.07mm","N/A"
1136,"Corundum","The name ""corundum"" is derived from the Tamil word ""kuruntam"" meaning ""ruby"". 

Corundum is called Ruby if red and Padparadscha if pink-orange. All other colours are called Sapphire.

High-quality ruby and sapphire have always been among the most expensive gems and are used in the most prestigious adornments.","https://www.gemdat.org/gphotos/0640799001343734098.jpg","Ruby","Mozambique","Natural","None reported","Cushion","3.59 cts.","N/A","N/A"
1144,"Covellite","Covellite is named after Niccolo Covelli, Italian mineralogist who discovered the mineral on Mount Vesuvius, Campania, Italy. 

Covellite forms opaque masses with vivid iridescent blue colours.

Massive material can be cut into brilliant blue cabochons.","https://www.gemdat.org/gphotos/0705115001425579103.jpg","Covellite","DR Congo","Natural","None reported","Cabochon","8.90 cts.","13mm x 10mm x 5mm","N/A"
1151,"Creedite","Creedite is named after its discovery locality, in Wagon Wheel Gap, Creede quadrangle, Mineral County, Colorado, USA.

Creedite is a rare mineral, it has unique crystal form and attractive range of colours. Transparent crystals are rarely large enough to facet. Some light purple transparent stones have been cut.","https://www.gemdat.org/gphotos/0842131001344951704.jpg","Creedite","China","Natural","None reported","N/A","0.36 cts.","N/A","N/A"
1157,"Crocoite","Crocoite was named crocoise in 1832, from the Greek ""krokos"" - saffron, in allusion to its colour. The name was first altered to crocoisite and afterwards to crocoite. It was discovered at Berezovsky deposit near Ekaterinburg in the Urals in 1766.

Crocoite is commonly found as well-developed crystals of a bright hyacinth-red, orange, or yellow colour, near transparent to translucent, and have an adamantine to vitreous lustre. 

The material is brittle, has good cleavage and very sensitive to heat. Transparent crystals of crocoite have been faceted into brilliant stones for collectors.","https://www.gemdat.org/gphotos/0123722001344952046.jpg","Crocoite","Tasmania, Australia","Natural","None reported","Freeform","4.20 cts.","N/A","N/A"
1172,"Cuprite","Cuprite was first described in 1845 and the name derives from the Latin ""cuprum"" for its copper content.

Cuprite forms well-developed cubic crystals. It shows internal reflections of the deep garnet-red colour inside the almost black crystal. Cuprite has metallic luster and very high refractive index. Cuprite produces attractive cabochons and fine faceted stones, but it is very soft and brittle.

There are different types of stone which are dyed red and offered in the trade as cuprite.","https://www.gemdat.org/gphotos/0720672001342783796.jpg","Cuprite","Namibia","Natural","None reported","Trillion","35.31 cts.","N/A","N/A"
1218,"Danburite","Danburite was first found in Danbury (therefore the name), Connecticut, USA. 

Danburite is little known as a gemstone, but its popularity is growing. Its crystals have excellent clarity and they are easy to cut into brilliant attractive gems. Cut stones of 3-6 carats or more (up to 100 carats).","https://www.gemdat.org/gphotos/0932443001353584892.jpg","Danburite","N/A","Natural","None reported","Freeform","24.33 cts.","23.0mm x 18.2mm x 7.2mm","N/A"
124,"Allanite","Allanite is named in 1810 after Thomas Allan, the Scottish mineralogist who first noticed it.

Allanite is a member of the Epidote group. It is opaque, with a dark brown (sometimes virtually black) colour. 

Allanite contains the rare earth elements Yttrium and Lanthanum.","https://www.gemdat.org/gphotos/0221978001351600395.jpg","Allanite","Brazil","Natural","None reported","N/A","3.47 cts.","11.9mm x 5.8mm x ?","N/A"
1258,"Demantoid","Demantoid is the green gemstone variety of andradite, a member of the garnet group of minerals. It is the most valuable garnet (name means ""diamond-like luster). 

The demantoid was discovered in 1868 in Russia's western central Ural Mountains.","https://www.gemdat.org/gphotos/0323026001343745113.jpg","Demantoid","Russia","Natural","None reported","Oval","2.09 cts.","N/A","N/A"
1282,"Diamond","A diamond (from the ancient Greek adámas, meaning ""unbreakable,"" ""proper,"" or ""unalterable"") is one of the best-known and most sought-after gemstones. Diamonds have been known to humankind and used as decorative items since ancient times; some of the earliest references can be traced to India.

The hardness of diamond and its high dispersion of light – giving the diamond its characteristic ""fire"" – make it useful for industrial applications and desirable as jewellery. 

Perhaps the most famous use of the diamond in jewellery is in engagement rings, which became popular in the early to mid 20th century due to an advertising campaign by the De Beers company, though diamond rings have been used to symbolize engagements since at least the 15th century.","https://www.gemdat.org/gphotos/0582412001356015889.jpg","Diamond","N/A","Natural","None reported","Pear","0.80 cts.","8.23mm x 5.43mm x 2.91mm","N/A"
1285,"Diaspore","Diaspore is named from Greek ""diaspheirein"" - to scatter, alluding to its usual descrepitation when strongly heated.

Diaspore forms greenish-brown, yellow, colourless, sometimes pinkish or white platy crystals with vitreous lustre. Some specimens may show a slight colour change from greenish in daylight to pinkish brown under tungsten light.

Mamaris area in Mugla Province, Turkey seems to be the source of all large gem-quality crystals that have been faceted to date.","https://www.gemdat.org/gphotos/0353547001350644608.jpg","Diaspore","Turkey","Natural","None reported","Oval","0.57 cts.","N/A","N/A"
1294,"Diopside","Diopside is named after Greek word for ""double appearance"" because of its crystal shape. It is one of the most common members of the Pyroxene Group.

Diopside has a number of gem-quality varieties, including intense green Chrome diopside and fine blue Violane. Black diopside exhbiiting asterism or the Star effect is known.

Usual weight of cut stones is 1 - 20 carats. Compact fine-grained varieties are used as jewelry-industrial stone.","https://www.gemdat.org/gphotos/0265511001350556017.jpg","Chrome-Diopside","Russia","Natural","None reported","Oval","0.89 cts.","N/A","N/A"
1295,"Dioptase","Dioptase is named after Greek word for ""view through"" referring to the mineral's two cleavage directions that are visible inside unbroken crystals. 

Dioptase is a popular collectors' mineral specimen and is smetimes cut into small emerald-like gems. The material is very soft to be worn as a ring-stone, but small specimens are sometimes mounted in pendants and brooches.","https://www.gemdat.org/gphotos/0643871001342794461.jpg","Dioptase","DR Congo","Natural","None reported","Trillion","3.44 cts.","N/A","Brett Kosnar"
1304,"Dolomite","Dolomite is named after Déodat Gratet de Dolomieu, who described its characteristics and occurences.

Dolomite forms white, gray to pink rhombohedral crystals, some of them exhibit curved growth, possibly a result of twinning. It can also be massive. Small amounts of iron in the structure cause a yellow to brown tint. A high manganese content gives the crystals a rosy pink colour.","https://www.gemdat.org/gphotos/0316375001357680195.jpg","Dolomite","Austria","Natural","None reported","Emerald","6.67 cts.","12mm x 9mm x 4mm","N/A"
1318,"Dravite","Dravite is named after a deposit near the river Drave, Carinthia/Austria. It is a magnesium tourmaline, usually dark yellow to brownish black colour.","https://www.gemdat.org/gphotos/0390743001426610679.jpg","Dravite","Sri Lanka","Natural","None reported","Round Cabochon","0.15 cts.","3mm x 3mm x 2mm","N/A"
1329,"Dumortierite","Dumortierite was named after French paleontologist E. Dumortier. It is widely used as ornamental stone in its massive form. The deep violet to blue colour stones can be cut into attractive cabochons.","https://www.gemdat.org/gphotos/0296965001351611953.jpg","Dumortierite","Madagascar","Natural","None reported","Pear","0.15 cts.","5.0mm x 2.6mm x ?","N/A"
1340,"Datolite","Datolite is named after Greek ""datysthai"" - to divide, alluding to the granular habit of some massive specimens.

Datolite can be yellow, brown, light green, colourless, pink, red and violet. It forms prismatic crystals and nodular masses. Transparent crystals are faceted into brilliant stones and opaque massive material is cut into cabochons. Facet grade rough rarely exceeds 2 g.","https://www.gemdat.org/gphotos/0333227001357816355.jpg","Datolite","Roncari Quarry (Tilcon Quarry), East Granby, Hartford Co., Connecticut, USA","Natural","None reported","Oval Brilliant","2.40 cts.","10.2mm x 6.7mm x ?","N/A"
1361,"Ekanite","Ekanite is named in 1961 after F.L.D. Ekanayake, discoverer of the mineral in 1953 in Sri Lanka. The material was dark, dull green, but when it was polished as cabochons it revealed a four-rayed star. The specimen was found to be metamict and radioactive. 

Ekanite occurs in poorly formed prismatic crystals of straw-yellow colour when pure, sometimes dark red or brown colour, which is caused by inclusions.

Radioactivity limits the use of Ekanite as a gemstone, all specimens should be stored with great care. Cut stones have weight up to 25 carats.","https://www.gemdat.org/gphotos/0911077001345154240.jpg","Ekanite","Sri Lanka","Natural","None reported","N/A","3.51 cts.","N/A","N/A"
1364,"Elbaite","Elbaite is named after the island of Elba, Italy. Elbaite forms three series, with dravite, liddicoatite, and schorl.","https://www.gemdat.org/gphotos/0901952001343829472.jpg","Paraíba Tourmaline","Brazil","Natural","None reported","Oval","1.77 cts.","N/A","N/A"
1375,"Emerald","The name emerald derives from Greek ""smaragdos"" - green stone. It is the most precious stone in the beryl group. Its green is incomparable, and is therefore called ""emerald green"". Emerald is highly evaluated for its deep bright green colour, transparency and rather high hardness. It has maintained, along with diamond and ruby, the dominant position among gemstones since ancient times.

The crystals are usually small with average length of 2 - 5 cm and width of 1 - 1.5 cm. Larger crystals are usually semitransparent to opaque. Flawless faceted emeralds exceeding 5 carats are rather rare.

The emerald is often clouded by inclusions, they are not classified as faults but show the difference between natural and synthetic stone.","https://www.gemdat.org/gphotos/0000268001345154623.jpg","Emerald","La Pita Mine, La Pita, Maripí Municipality, Boyacá Department, Colombia","Natural","Oiling/Waxing","Emerald","1.20 cts.","7.7mm x 5.7mm x ?","commercially cut"
1384,"Enstatite","Enstatite is named after Greek word for ""resistor"", because it resists high temperatures. 

Clear transparent specimens can be faceted. Greenish-gray enstatite cat's eye ans star enstatite are known.

Enstatite has been identified in some meteorites. It is thought to be one of the early stages for the formation of crystalline silicates in Space.","https://www.gemdat.org/gphotos/0118714001345154958.jpg","Enstatite","Tanzania","Natural","None reported","Oval","7.51 cts.","N/A","N/A"
1386,"Eosphorite","Eosphorite is named from Greek ""eosphoros"" - dawn breaking, referring to the pink colour of the first specimens studied, which were found at Branchville, Fairfield County, Connecticut, USA. 

Eosphorite forms yellowish brown, pink and sometimes colourless crystals. The crystals are monoclinic, but often show pseudo–orthorhombic forms due to twinning. 

Attractive transparent pinkish orange crystals have been faceted.","https://www.gemdat.org/gphotos/0729454001345156774.jpg","Eosphorite","Brazil","Natural","None reported","N/A","1.45 cts.","N/A","N/A"
1389,"Epidote","Epidote (Greek - addition) is named after the numerous crystal faces. 

Relatively large crystals of flawless facet rough are not uncommon, but faceted stones are limited to small sizes and may appear black because of the dark tone of the material.","https://www.gemdat.org/gphotos/0040456001345157237.jpg","Epidote","Sri Lanka","Natural","None reported","N/A","0.52 cts.","N/A","N/A"
1414,"Ettringite","Ettringite is named after its discovery locality, at Ettringen, Eifel mts., Rheinland-Palatine, Germany.

Ettringite forms colourless to pale yellow transparent to opaque crystals, which can be faceted.","https://www.gemdat.org/gphotos/0597880001343677709.jpg","Ettringite","South Africa","Natural","None reported","Emerald","0.51 cts.","N/A","N/A"
1418,"Euclase","Euclase (Greek - breaks well) is a name that refers to the easy cleavage of this mineral. 

Flawless gem rough above 1 gram is very rare. It is usually colourless, sapphire blue or blue-green. Most appreciated are bright, blue sapphire-like stones.","https://www.gemdat.org/gphotos/0052144001357135483.jpg","Euclase","N/A","Natural","None reported","Pear","5.78 cts.","15.9mm x 9.7mm x ?","N/A"
1420,"Eudialyte","Eudialyte is named from Greek ""eu"" - well and ""dialytos"" - dissolved, alluding to its easy solubility in acids.

Transparent to translucent red to reddish brown eudialyte can occur as crystals or masses. Well-formed crystals are very rare, but faceted stones are very popular because of their attractive colouring. Small bright red crystals come from Mt Saint Hilaire, Quebec, Canada.

The massive eudialyte makes attractive cabochons and spheres. This material is found in Kola Peninsula, Russia.","https://www.gemdat.org/gphotos/0990831001426611978.jpg","Eudialyte","Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada","Natural","None reported","Round Brilliant","0.09 cts.","3mm x 2mm x 1.5mm","N/A"
1572,"Fluorapatite","Fluorapatite is the fluorine end-member of the Apatite Group.","https://www.gemdat.org/gphotos/0414808001384123458.jpg","Fluorapatite","Durango, Mexico","Natural","None reported","Oval","3.37 cts.","11.1mm x 7.4mm x ?mm","N/A"
1576,"Fluorite","The word Fluorite derived from the Latin ""fluo"" - to flow, because the mineral is used as a flux in iron smelting. 

Fluorites from certain localities exhibit a very strong fluorescence, due to impurities in the crystal. In 1852 the phenomenon of fluorescence was named after fluorite. It also gave the name to its constitutive element fluorine.

Fluorite has a wide range of colours, which depends on impurities, exposure to radiation, and the size of the colour centers. Colour distribution is often zonal or spotty. 

Fluorite can be used in jewelry, cut into beads. But it is not widely used as a semiprecious stone because of its low hardness.","https://www.gemdat.org/gphotos/0483250001345207512.jpg","Fluorite","N/A","Natural","None reported","N/A","34.78 cts.","N/A","N/A"
1584,"Forsterite","Forsterite is named after Adolarius Jacob Forster, English mineral collector and dealer. 

Forsterite is a magnesium-rich olivine mineral. It forms colourless, green, yellow, yellow green, white, transparent to translucent crystals with vitreous lustre.","https://www.gemdat.org/gphotos/0229247001418028886.jpg","Forsterite","Mogok Township, Pyin-Oo-Lwin District, Mandalay Region, Myanmar","Natural","None reported","Baguette","1.01 cts.","10.75mm x 4.09mm x ?mm","N/A"
1609,"Friedelite","Friedelite is named after Charles Friedel, French mineralogist and chemist.

Friedelite is usually massive but may also form tabular crystals. Transparent rose-red to orange-red material has been faceted and cut into cabochons.","https://www.gemdat.org/gphotos/0967086001357817040.jpg","Friedelite","New Jersey, USA","Natural","None reported","Shield","1.29 cts.","7.1mm x 6.7mm x ?","N/A"
1632,"Gahnite","Gahnite is named after J.G. Gahn, a Swedish chemist and mineralogist, who discovered the mineral. It was first described in 1807 for an occurrence in the Falu mine, Falun, Dalarna, Sweden.

Gahnite is a rare mineral belonging to the Spinel group. It has the same structure as Spinel but different chemistry (zinc).","https://www.gemdat.org/gphotos/0501584001357940499.jpg","Gahnite","Bahia, Brazil","Natural","None reported","Square Brilliant","0.87 cts.","6mm x 6mm x 2mm","N/A"
1633,"Gahnospinel","Gahnospinel is a zinc-rich variety of Spinel. It has light to dark blue colour.","https://www.gemdat.org/gphotos/0619168001427734401.jpg","Gahnospinel","Sri Lanka","Natural","None reported","Square Brilliant","0.18 cts.","2.5mm x 2.5mm x 2mm","N/A"
1657,"Gaspéite","Gaspéite is named after its discovery locality, on the Gaspé Peninsula, Lemieux Township, Gaspé-ouest County, Quebec, Canada.

Gaspéite occurs in translucent bright grass-green to olive- or yellowish green nodular concretions or as aggregates of rhombic crystals.

Gaspéite is carved into sculptures and objects d'art. It is cut into cabochons and mounted in jewelry.","https://www.gemdat.org/gphotos/0708782001351554038.jpg","Gaspéite","Australia","Natural","None reported","Cushion","5.62 cts.","13.1mm x 8.8mm x ?","N/A"
1737,"Grandidierite","Grandidierite is named after Alfred Grandidier, French explorer of Madagascar, specialist of its geography and natural history.

Grandidierite forms characteristic translucent bluish green or greenish blue elongated crystals. It has strong pleochroism: dark blue-green, colourless and dark green. 

Crystals up to 8 cm in length and limited amounts of facet-grade rough are found in southern Madagascar.","https://www.gemdat.org/gphotos/0730579001484592419.jpg","Grandidierite","Vohibola phlogopite deposit, Behara, Amboasary Sud, Anosy, Madagascar","Natural","None reported","Table","2.05 cts.","7.7mm x 6.9mm x 4.7mm","N/A"
